s,C,m,mol/mol
Time,"temperature","visibility","CO"
 2.9619462E+000, 4.5912192E+001, 3.4286829E+000, 3.7616314E-005
 2.9709840E+000, 4.6332636E+001, 3.3769963E+000, 3.8242378E-005
 2.9800217E+000, 4.6781067E+001, 3.3236798E+000, 3.8910379E-005
 2.9890594E+000, 4.7244198E+001, 3.2700720E+000, 3.9605504E-005
 2.9980971E+000, 4.7686496E+001, 3.2199353E+000, 4.0277715E-005
 3.0071349E+000, 4.8086585E+001, 3.1754008E+000, 4.0893536E-005
 3.0161726E+000, 4.8434441E+001, 3.1372352E+000, 4.1435842E-005
 3.0252103E+000, 4.8745199E+001, 3.1035588E+000, 4.1925933E-005
 3.0342480E+000, 4.9070392E+001, 3.0691946E+000, 4.2438186E-005
 3.0422095E+000, 4.9418849E+001, 3.0339226E+000, 4.2977993E-005
 3.0501710E+000, 4.9853054E+001, 2.9919369E+000, 4.3639765E-005
 3.0581325E+000, 5.0375451E+001, 2.9436434E+000, 4.4427458E-005
 3.0660940E+000, 5.0973802E+001, 2.8913225E+000, 4.5315065E-005
 3.0740555E+000, 5.1616953E+001, 2.8379323E+000, 4.6259188E-005
 3.0820170E+000, 5.2279621E+001, 2.7852028E+000, 4.7231145E-005
 3.0899785E+000, 5.2955239E+001, 2.7335150E+000, 4.8224145E-005
 3.0979400E+000, 5.3665505E+001, 2.6809922E+000, 4.9275985E-005
 3.1059015E+000, 5.4430708E+001, 2.6265633E+000, 5.0414871E-005
 3.1138630E+000, 5.5253759E+001, 2.5710938E+000, 5.1631936E-005
 3.1218245E+000, 5.6141497E+001, 2.5143617E+000, 5.2939640E-005
 3.1297860E+000, 5.7072010E+001, 2.4584449E+000, 5.4296739E-005
 3.1377475E+000, 5.8030336E+001, 2.4041620E+000, 5.5683821E-005
 3.1457090E+000, 5.9010704E+001, 2.3511553E+000, 5.7107763E-005
 3.1536705E+000, 5.9990876E+001, 2.3005381E+000, 5.8536493E-005
 3.1616320E+000, 6.0949404E+001, 2.2533638E+000, 5.9933909E-005
 3.1695935E+000, 6.1862969E+001, 2.2104124E+000, 6.1265577E-005
 3.1775550E+000, 6.2703892E+001, 2.1724812E+000, 6.2491733E-005
 3.1855165E+000, 6.3449687E+001, 2.1400435E+000, 6.3579825E-005
 3.1942742E+000, 6.4145085E+001, 2.1108008E+000, 6.4593822E-005
 3.2030318E+000, 6.4700773E+001, 2.0881395E+000, 6.5402390E-005
 3.2117894E+000, 6.5120232E+001, 2.0713716E+000, 6.6013686E-005
 3.2205471E+000, 6.5419564E+001, 2.0594833E+000, 6.6453500E-005
 3.2293047E+000, 6.5621458E+001, 2.0514227E+000, 6.6754396E-005
 3.2380624E+000, 6.5756423E+001, 2.0459514E+000, 6.6959578E-005
 3.2468200E+000, 6.5841734E+001, 2.0423916E+000, 6.7093169E-005
 3.2555777E+000, 6.5878682E+001, 2.0406490E+000, 6.7157783E-005
 3.2633958E+000, 6.5875916E+001, 2.0404085E+000, 6.7165150E-005
 3.2712140E+000, 6.5845798E+001, 2.0411253E+000, 6.7135597E-005
 3.2790321E+000, 6.5788776E+001, 2.0428858E+000, 6.7066460E-005
 3.2868503E+000, 6.5703898E+001, 2.0457169E+000, 6.6956875E-005
 3.2946685E+000, 6.5590062E+001, 2.0496494E+000, 6.6805959E-005
 3.3024866E+000, 6.5441291E+001, 2.0549397E+000, 6.6604706E-005
 3.3103048E+000, 6.5248106E+001, 2.0619882E+000, 6.6339161E-005
 3.3181229E+000, 6.5001008E+001, 2.0712025E+000, 6.5995806E-005
 3.3259411E+000, 6.4688359E+001, 2.0831426E+000, 6.5556863E-005
 3.3337592E+000, 6.4295039E+001, 2.0985393E+000, 6.5000120E-005
 3.3415774E+000, 6.3809296E+001, 2.1180452E+000, 6.4308805E-005
 3.3493955E+000, 6.3225730E+001, 2.1421638E+000, 6.3474633E-005
 3.3572137E+000, 6.2540642E+001, 2.1714513E+000, 6.2490983E-005
 3.3650318E+000, 6.1763666E+001, 2.2060848E+000, 6.1367564E-005
 3.3728500E+000, 6.0907909E+001, 2.2459488E+000, 6.0124311E-005
 3.3806682E+000, 5.9976094E+001, 2.2913041E+000, 5.8769790E-005
 3.3884863E+000, 5.8966967E+001, 2.3429123E+000, 5.7301138E-005
 3.3963045E+000, 5.7889660E+001, 2.4012680E+000, 5.5727249E-005
 3.4041226E+000, 5.6753199E+001, 2.4665100E+000, 5.4066949E-005
 3.4119408E+000, 5.5534716E+001, 2.5409405E+000, 5.2289348E-005
